レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609100101,2026-09-10,01,1R,daily,68.49,25.96,42.06,8.23,57.61,7.12,50.0,10.9,50.0,4.18,56.39,52.33,19.84,40.25,7.88,41.89,5.18,50.0,10.9,50.0,4.18,47.97,52.57,19.93,43.86,8.59,49.6,6.13,50.0,10.9,50.0,4.18,49.72,47.29,17.93,43.86,8.59,40.83,5.05,50.0,10.9,50.0,4.18,46.64,44.66,16.93,42.06,8.23,53.86,6.66,50.0,10.9,50.0,4.18,46.9,34.48,13.07,33.03,6.47,38.07,4.71,50.0,10.9,50.0,4.18,39.32
202609100102,2026-09-10,01,2R,daily,68.49,25.96,45.67,8.94,59.18,7.31,50.0,10.9,50.0,4.18,57.29,52.33,19.84,45.67,8.94,47.78,5.9,50.0,10.9,50.0,4.18,49.76,52.57,19.93,47.47,9.29,45.01,5.56,50.0,10.9,50.0,4.18,49.86,47.29,17.93,43.86,8.59,44.19,5.46,50.0,10.9,50.0,4.18,47.05,44.66,16.93,43.86,8.59,54.15,6.69,50.0,10.9,50.0,4.18,47.29,34.48,13.07,40.25,7.88,36.95,4.57,50.0,10.9,50.0,4.18,40.6
202609100103,2026-09-10,01,3R,daily,68.49,25.96,49.28,9.64,39.78,4.92,50.0,10.9,50.0,4.18,55.6,52.33,19.84,45.67,8.94,52.24,6.46,50.0,10.9,50.0,4.18,50.31,52.57,19.93,42.06,8.23,55.64,6.88,50.0,10.9,50.0,4.18,50.12,47.29,17.93,45.67,8.94,37.93,4.69,50.0,10.9,50.0,4.18,46.63,44.66,16.93,45.67,8.94,50.59,6.25,50.0,10.9,50.0,4.18,47.2,34.48,13.07,45.67,8.94,67.52,8.34,50.0,10.9,50.0,4.18,45.43
202609100104,2026-09-10,01,4R,daily,68.49,25.96,51.08,10.0,41.25,5.1,50.0,10.9,50.0,4.18,56.14,52.33,19.84,45.67,8.94,47.52,5.87,50.0,10.9,50.0,4.18,49.73,52.57,19.93,45.67,8.94,41.91,5.18,50.0,10.9,50.0,4.18,49.13,47.29,17.93,49.28,9.64,56.04,6.93,50.0,10.9,50.0,4.18,49.58,44.66,16.93,43.86,8.59,41.79,5.16,50.0,10.9,50.0,4.18,45.76,34.48,13.07,43.86,8.59,47.3,5.85,50.0,10.9,50.0,4.18,42.58
202609100105,2026-09-10,01,5R,daily,68.49,25.96,47.47,9.29,55.66,6.88,50.0,10.9,50.0,4.18,57.21,52.33,19.84,42.06,8.23,52.02,6.43,50.0,10.9,50.0,4.18,49.58,52.57,19.93,43.86,8.59,57.46,7.1,50.0,10.9,50.0,4.18,50.69,47.29,17.93,42.06,8.23,53.86,6.66,50.0,10.9,50.0,4.18,47.9,44.66,16.93,43.86,8.59,49.96,6.17,50.0,10.9,50.0,4.18,46.77,34.48,13.07,72.73,14.24,41.47,5.12,50.0,10.9,50.0,4.18,47.51
202609100106,2026-09-10,01,6R,daily,68.49,25.96,54.69,10.7,34.36,4.25,50.0,10.9,50.0,4.18,55.99,52.33,19.84,43.86,8.59,54.15,6.69,50.0,10.9,50.0,4.18,50.19,52.57,19.93,42.06,8.23,57.61,7.12,50.0,10.9,50.0,4.18,50.36,47.29,17.93,43.86,8.59,56.85,7.03,50.0,10.9,50.0,4.18,48.62,44.66,16.93,43.86,8.59,43.76,5.41,50.0,10.9,50.0,4.18,46.0,34.48,13.07,40.25,7.88,41.89,5.18,50.0,10.9,50.0,4.18,41.21
202609100107,2026-09-10,01,7R,daily,68.49,25.96,49.28,9.64,43.42,5.37,50.0,10.9,50.0,4.18,56.05,52.33,19.84,43.86,8.59,49.6,6.13,50.0,10.9,50.0,4.18,49.63,52.57,19.93,49.28,9.64,32.19,3.98,50.0,10.9,50.0,4.18,48.63,47.29,17.93,42.06,8.23,40.14,4.96,50.0,10.9,50.0,4.18,46.2,44.66,16.93,33.03,6.47,38.07,4.71,50.0,10.9,50.0,4.18,43.18,34.48,13.07,45.67,8.94,47.78,5.9,50.0,10.9,50.0,4.18,42.99
202609100108,2026-09-10,01,8R,daily,68.49,25.96,47.47,9.29,45.01,5.56,50.0,10.9,50.0,4.18,55.9,52.33,19.84,42.06,8.23,43.73,5.4,50.0,10.9,50.0,4.18,48.55,52.57,19.93,43.86,8.59,41.79,5.16,50.0,10.9,50.0,4.18,48.76,47.29,17.93,45.67,8.94,52.24,6.46,50.0,10.9,50.0,4.18,48.4,44.66,16.93,47.47,9.29,55.37,6.84,50.0,10.9,50.0,4.18,48.14,34.48,13.07,49.28,9.64,60.15,7.43,50.0,10.9,50.0,4.18,45.23
202609100109,2026-09-10,01,9R,daily,68.49,25.96,49.28,9.64,56.04,6.93,50.0,10.9,50.0,4.18,57.61,52.33,19.84,43.86,8.59,44.19,5.46,50.0,10.9,50.0,4.18,48.96,52.57,19.93,45.67,8.94,37.93,4.69,50.0,10.9,50.0,4.18,48.63,47.29,17.93,43.86,8.59,49.96,6.17,50.0,10.9,50.0,4.18,47.77,44.66,16.93,43.86,8.59,40.83,5.05,50.0,10.9,50.0,4.18,45.64,34.48,13.07,45.67,8.94,47.52,5.87,50.0,10.9,50.0,4.18,42.96
202609100110,2026-09-10,01,10R,daily,68.49,25.96,72.73,14.24,41.47,5.12,50.0,10.9,50.0,4.18,60.4,52.33,19.84,47.47,9.29,55.66,6.88,50.0,10.9,50.0,4.18,51.09,52.57,19.93,54.69,10.7,34.36,4.25,50.0,10.9,50.0,4.18,49.96,47.29,17.93,42.06,8.23,55.64,6.88,50.0,10.9,50.0,4.18,48.12,44.66,16.93,51.08,10.0,41.25,5.1,50.0,10.9,50.0,4.18,47.11,34.48,13.07,45.67,8.94,59.18,7.31,50.0,10.9,50.0,4.18,44.4
